strain	latitude	longitude	isolation	date_isolated	comment	isolated_by	city	state_province	country	location_raw
JU2828	46.63278	1.064289	rotting pears	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	le Blanc (Indre), France
JU2829	46.63278	1.064289	rotting pears	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	le Blanc (Indre), France
JU2830	46.63278	1.064289	rotting pears	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	le Blanc (Indre), France
JU2838	20.205961	-97.98832	rotten orange	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Tenango, Puebla, Mexico
JU2841	NA	NA	slug	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	New Zealand
JU2853	41.19	-7.545	soil from a plant pot	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Pinhao, Portugal
JU2860	52.19842	0.115365	rotting wood, fungus, rotting leaf sample	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Coe Fen meadow, Cambridge (UK)
JU2862	52.1944	0.1264	rotting flowers of Napoleona vogelli in the heated greenhouse	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Botanic Garden, Cambridge (UK).
JU2866	34.0751	-118.4409	unidentified rotting fruit, Murphy Sculpture Garden, UCLA Campus	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Los Angeles, CA, USA
JU2878	19.29732	-99.098769	rotten berry sampled in a greenhouse	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cuemanco-Xochimilco, Mexico
JU2879	19.29732	-99.098769	rotten apple sampled in a greenhouse	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Cuemanco-Xochimilco, Mexico
JU310	46.63	1.06	vegetable garden	2002-08-25	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Le Blanc, France
JU311	44.42	4.4	wash from snails from under a tree of ivy	2002-09-08	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Merlet, France
JU312	44.421936	4.407923	Wash from snail tube - snails coming from under a tree full of ivy	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Merlet, Lagorce (Ardeche), France
JU315	44.2	4.4	pomatias elegans (?) snails	2002-09-08	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Merlet, France
JU323	44.42	4.4	From a helix snail #3 on the trunk of a mulberry tree	2002-09-08	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Merlet, France
JU345	44.421936	4.407923	Glomeris myriapod in the compost pile (same myriapod as JU343, JU344, JU346)	NA	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Merlet, Lagorce (Ardeche), France
JU346	44.2	4.4	From a Glomeris myriapod in the compost pile	2002-09-08	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Merlet, France
JU360	48.98	2.23	Compost heap in Claude Pieau's garden	2002-09-02	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Francoville, France
JU363	48.98	2.23	Compost heap in Claude Pieau's garden	2002-09-16	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Francoville, France
JU367	48.98	2.23	Compost heap in Claude Pieau's garden	2002-09-16	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Francoville, France
JU393	49.28	-0.32	compost	2002-09-01	NA	Antoine Barriere	#ERROR!	#ERROR!	#ERROR!	Hermanville, France
JU394	49.28	-0.32	compost	2002-09-01	NA	Antoine Barriere	#ERROR!	#ERROR!	#ERROR!	Hermanville, France
